Sol Acres,Choa Chu Kang Grove/ Choa Chu Kang Way,Ready to move,900,,,200 sqft,S$ 4.50 psf,Executive Condominium,Fully Furnished,2019,2h
Lilydale,550 Yishun Ave 6,Ready to move,2500,3,3,1206 sqft,S$ 2.07 psf,Condominium,Fully Furnished,2003,2h
16B Sallim road,,Ready to move,4500,4,4,4000 sqft 2500 sqft (land),S$ 1.80 psf,Semi-Detached House,Partially Furnished,,2h
Robin Residences,3 Robin Drive,,3600,2,2,710 sqft,S$ 5.07 psf,Condominium,Partially Furnished,2016,2h
Robin Residences,3 Robin Drive,,3600,2,2,710 sqft,S$ 5.07 psf,Condominium,Partially Furnished,2016,2h
Galistan avenue,Galistan Avenue,Available from 28 Mar,5000,5,6,2600 sqft 3600 sqft (land),S$ 1.39 psf,Semi-Detached House,Partially Furnished,,2h
???? CHARMING ! BALCONY MRT SWEET H O M E,Lavender / Farrer / Novena / Nr Orchard,Ready to move,5300,3,2,2500 sqft 2500 sqft (land),S$ 2.12 psf,Shophouse,Partially Furnished,,2h
Reflections @ Keppel Bay,23 Keppel Bay View,Ready to move,4700,2,2,990 sqft,S$ 4.75 psf,Condominium,Fully Furnished,2013,2h
Lakeside Tower,9G Yuan Ching Road,Ready to move,2200,2,1,1900 sqft,S$ 1.16 psf,Apartment,Fully Furnished,1981,2h
Reflections @ Keppel Bay,17 Keppel Bay View,Available from 1 May,16500,4,5,3164 sqft,S$ 5.21 psf,Condominium,Partially Furnished,2013,2h
24 Sin Ming Road,24 Sin Ming Road,Ready to move,450,,,800 sqft,S$ 0.56 psf,HDB Apartment,Fully Furnished,,2h
BUGIS SHOPHOUSE VIEW IT FEEL IT LUV IT ! SUPERB HIGH CEILING,Bugis Street /MRT /Rochor /nr Chinatown /CBD,Ready to move,3500,1,2,950 sqft 950 sqft (land),S$ 3.68 psf,Shophouse,Fully Furnished,2008,2h
Eight Riversuites,10 Whampoa East,Ready to move,1500,,,140 sqft,S$ 10.71 psf,Condominium,,2016,2h
LOVELY SHOPHOUSE @ BUGIS MRT 2 BEDDER,Bugis MRT/ Liang Seah Street,Available from 24 Mar,3500,2,2,944 sqft 944 sqft (land),S$ 3.71 psf,Shophouse,Fully Furnished,,2h
36 Bedok South Avenue 2,36 Bedok South Avenue 2,Ready to move,2300,3,2,904 sqft,S$ 2.54 psf,HDB Apartment,Fully Furnished,,2h
North Park Residences,21 Yishun Central 1,Available from 8 Mar,2500,2,1,624 sqft,S$ 4.01 psf,Condominium,,2020,2h
Cashew Heights,85 Cashew Road,,2750,3,3,1657 sqft,S$ 1.66 psf,Condominium,Partially Furnished,1992,2h
Kerrisdale,30 Sturdee Road,Available from 1 May,4000,3,3,1270 sqft,S$ 3.15 psf,Condominium,Partially Furnished,2006,2h
Woodhaven,71 Woodgrove Avenue,Ready to move,1950,1,1,624 sqft,S$ 3.12 psf,Condominium,Fully Furnished,2015,2h
516 Woodlands Drive 14,516 Woodlands Drive 14,Ready to move,600,,,1000 sqft,S$ 0.60 psf,HDB Apartment,Fully Furnished,,2h
The Estuary @ Yishun,93 Yishun Avenue 1,Ready to move,800,,,1000 sqft,S$ 0.80 psf,Condominium,Fully Furnished,2013,2h
138 Bishan Street 12,138 Bishan Street 12,Ready to move,800,,,1000 sqft,S$ 0.80 psf,HDB Apartment,Fully Furnished,,2h
290B Compassvale Crescent,290B Compassvale Crescent,Ready to move,650,,,1000 sqft,S$ 0.65 psf,HDB Apartment,Fully Furnished,,2h
Macpherson Garden Estate,Macpherson Road,Ready to move,3100,3,2,1500 sqft 1025 sqft (land),S$ 3.02 psf,Terraced House,Partially Furnished,1970,2h
Townerville,71 Mc Nair Road,Ready to move,5300,3,2,2424 sqft,S$ 2.19 psf,Town House,Partially Furnished,,3h
408 Sin Ming Avenue,408 Sin Ming Avenue,Ready to move,2190,3,2,1292 sqft,S$ 1.70 psf,HDB Apartment,Fully Furnished,,3h
Laguna Park,5000A Marine Parade Road,Ready to move,900,,,250 sqft,S$ 3.60 psf,Apartment,Fully Furnished,1978,3h
253 Bangkit Road,253 Bangkit Road,Available from 6 Apr,1800,4,2,1300 sqft,S$ 1.38 psf,HDB Apartment,Partially Furnished,,3h
Faber Park,Faber Park,Available from 10 Apr,9800,5,6,4000 sqft 11000 sqft (land),S$ 0.89 psf,Detached House,Partially Furnished,,3h
Tropical bungalow near Holland Village close to all amenities.,21 Holland Road,Available from 30 Mar,17000,6,5,6500 sqft 5000 sqft (land),S$ 3.40 psf,Good Class Bungalow,Partially Furnished,,3h
The Gardens @ Bishan,1 Sin Min Walk,Ready to move,3100,3,2,1205 sqft,S$ 2.57 psf,Condominium,Fully Furnished,2004,3h
Beautiful lots of character Tanglin bungalow with inground pool.,19 Tanglin Road,Ready to move,26000,5,4,6500 sqft 15000 sqft (land),S$ 1.73 psf,Good Class Bungalow,Partially Furnished,,3h
Riverparc Residence,,Ready to move,1900,1,2,829 sqft,S$ 2.29 psf,Executive Condominium,Fully Furnished,2014,3h
202B Sengkang East Road,202B Sengkang East Road,,2400,3,2,1399 sqft,S$ 1.72 psf,HDB Apartment,Partially Furnished,,3h
202B Sengkang East Road,202B Sengkang East Road,,2400,3,2,1399 sqft,S$ 1.72 psf,HDB Apartment,Partially Furnished,,3h
Skies Miltonia,Miltonia Close,Ready to move,2250,2,2,721 sqft,S$ 3.12 psf,Condominium,Partially Furnished,2016,3h
206 Toa Payoh North,206 Toa Payoh North,Ready to move,2100,2,1,635 sqft,S$ 3.31 psf,HDB Apartment,Fully Furnished,,3h
Woodgrove Condo,2 Woodgrove Drive,Ready to move,2600,3,2,1184 sqft,S$ 2.20 psf,Condominium,Fully Furnished,1999,3h
161 Mei Ling Street,161 Mei Ling Street,Available from 25 Mar,750,,,250 sqft,S$ 3.00 psf,HDB Apartment,Fully Furnished,,3h
109 Bukit Purmei Road,109 Bukit Purmei Road,Ready to move,600,,,250 sqft,S$ 2.40 psf,HDB Apartment,Fully Furnished,,3h
51 Telok Blangah Drive,51 Telok Blangah Drive,Ready to move,700,,,250 sqft,S$ 2.80 psf,HDB Apartment,Fully Furnished,,3h
130 Bukit Merah View,130 Bukit Merah View,Ready to move,650,,,650 sqft,S$ 1.00 psf,HDB Apartment,Fully Furnished,,3h
56 Telok Blangah Heights,56 Telok Blangah Heights,Ready to move,600,,,250 sqft,S$ 2.40 psf,HDB Apartment,Fully Furnished,,3h
379 Clementi Avenue 5,379 Clementi Avenue 5,Ready to move,600,,,250 sqft,S$ 2.40 psf,HDB Apartment,Fully Furnished,,3h
86 Telok Blangah Heights,86 Telok Blangah Heights,Ready to move,700,,,250 sqft,S$ 2.80 psf,HDB Apartment,Fully Furnished,,3h
57 Teban Gardens Road,57 Teban Gardens Road,Ready to move,700,,,250 sqft,S$ 2.80 psf,HDB Apartment,Fully Furnished,,3h
612 Ang Mo Kio Avenue 4,612 Ang Mo Kio Avenue 4,Ready to move,750,,,250 sqft,S$ 3.00 psf,HDB Apartment,Fully Furnished,,3h
332 Jurong East Avenue 1,332 Jurong East Avenue 1,Ready to move,550,,,250 sqft,S$ 2.20 psf,HDB Apartment,Fully Furnished,,3h
262 Serangoon Central Drive,262 Serangoon Central Drive,Ready to move,800,,,250 sqft,S$ 3.20 psf,HDB Apartment,Fully Furnished,,3h
108 Bukit Purmei Road,108 Bukit Purmei Road,Ready to move,850,,,250 sqft,S$ 3.40 psf,HDB Apartment,Fully Furnished,,3h
City Gate,371 Beach Road,Ready to move,4600,2,2,755 sqft,S$ 6.09 psf,Apartment,Partially Furnished,2019,3h
City Gate,371 Beach Road,Ready to move,3500,2,2,580 sqft,S$ 6.03 psf,Apartment,Partially Furnished,2019,3h
707 Clementi West Street 2,707 Clementi West Street 2,Ready to move,900,,,120 sqft,S$ 7.50 psf,HDB Apartment,Fully Furnished,,3h
The Cape,25 Amber Road,Ready to move,2800,1,1,570 sqft,S$ 4.91 psf,Apartment,Fully Furnished,2014,3h
North Park Residences,15 Yishun Central 1,Ready to move,2500,2,2,732 sqft,S$ 3.42 psf,Condominium,,2020,3h
The Boulevard Residence,6 Cuscaden Walk,Ready to move,8000,3,4,2034 sqft,S$ 3.93 psf,Condominium,Partially Furnished,2005,3h
Amaninda,331 Thomson Road,Ready to move,4300,3,3,1249 sqft,S$ 3.44 psf,Condominium,Partially Furnished,2005,3h
Regent Heights,52 Bukit Batok East Avenue 5,Available from 1 May,3000,3,3,1497 sqft,S$ 2.00 psf,Condominium,Partially Furnished,1999,3h
211 Bukit Batok Street 21,211 Bukit Batok Street 21,Available from 15 Mar,2200,3,2,1119 sqft,S$ 1.97 psf,HDB Apartment,Fully Furnished,,3h
Prestige Heights,348 Balestier Road,Ready to move,2550,2,1,581 sqft,S$ 4.39 psf,Apartment,Fully Furnished,2013,3h
Miltonia Residences,520 Miltonia Close,Available from 15 May,2800,3,3,1432 sqft,S$ 1.96 psf,Condominium,Partially Furnished,2015,3h
531 Hougang Avenue 6,531 Hougang Avenue 6,Ready to move,750,,,200 sqft,S$ 3.75 psf,HDB Apartment,Fully Furnished,,3h
28 Jalan Bahagia,28 Jalan Bahagia,Ready to move,350,,,120 sqft,S$ 2.92 psf,HDB Apartment,Fully Furnished,,3h
Reflections @ Keppel Bay,29 Keppel Bay View,Available from 30 Mar,7300,3,3,1506 sqft,S$ 4.85 psf,Condominium,Partially Furnished,2013,3h
265E Compassvale Bow,265E Compassvale Bow,Ready to move,750,,,100 sqft,S$ 7.50 psf,HDB Apartment,Partially Furnished,,3h
Principal Garden,Prince Charles Cres,Available from 1 Apr,4800,3,2,1076 sqft,S$ 4.46 psf,Condominium,Partially Furnished,2019,3h
254 Compassvale Road,254 Compassvale Road,Ready to move,2400,3,2,1249 sqft,S$ 1.92 psf,HDB Apartment,Partially Furnished,,3h
Ah Soo Garden,Lorong Ah Soo,Ready to move,10000,8,6,9000 sqft 5147 sqft (land),S$ 1.94 psf,Semi-Detached House,Fully Furnished,1990,3h
8 @ Mount Sophia,8 Mount Sophia,Ready to move,3500,1,1,861 sqft,S$ 4.07 psf,Condominium,Partially Furnished,2007,3h
Espada,48 Saint Thomas Walk,Ready to move,4000,2,1,689 sqft,S$ 5.81 psf,Condominium,Partially Furnished,2013,3h
Sunset Terrace,Sunset Terrace,Available from 15 May,14800,7,5,4500 sqft 3200 sqft (land),S$ 4.62 psf,Terraced House,Partially Furnished,,3h
675B Jurong West Street 64,675B Jurong West Street 64,Ready to move,750,,,200 sqft,S$ 3.75 psf,HDB Apartment,Fully Furnished,,3h
OMG I WANT THIS DUPLEX LOFT ! !! 2 mins BUGIS MRT PRIME PRIME LOCATION ! !!,CITY HALL MRT TAN QUEE LAN STREET BUGIS MRT,Ready to move,3500,1,2,1042 sqft 1000 sqft (land),S$ 3.50 psf,Conservation House,Fully Furnished,,3h
Alba,8 Cairnhill Rise,Ready to move,10500,3,4,1905 sqft,S$ 5.51 psf,Condominium,Partially Furnished,2015,3h
BLK 171B EDGEFIELD PALIN,,Ready to move,2100,3,2,1184 sqft,S$ 1.77 psf,HDB Apartment,Fully Furnished,,3h
The Nautical,93 Jalan Sendudok,Ready to move,3300,3,3,1119 sqft,S$ 2.95 psf,Condominium,Fully Furnished,2016,3h
The Tessarina,20 Wilby Road,Available from 11 Apr,4000,3,3,1335 sqft,S$ 3.00 psf,Condominium,Fully Furnished,2003,3h
TRUE BEAUTY DUPLEX CONSERVATION HOUSE - 2 mins BUGIS MRT ! !! THIS IS AWESOME ! !,LIANG SEAH STREET CITY HALL MRT BUGIS MRT,Ready to move,3500,2,2,982 sqft 1000 sqft (land),S$ 3.50 psf,Conservation House,Fully Furnished,,3h
People'S Park Complex,1 Park Road,Ready to move,900,,,200 sqft,S$ 4.50 psf,Apartment,,,3h
Tanjong Ria Condominium,121 Tanjong Rhu Road,Ready to move,2700,2,2,926 sqft,S$ 2.92 psf,Condominium,Fully Furnished,1997,3h
Springdale Condo,45 Hindhede Walk,Available from 18 Apr,2800,3,3,1152 sqft,S$ 2.43 psf,Condominium,Partially Furnished,2000,3h
Riverparc Residence,90 Punggol Drive,Ready to move,1700,,,300 sqft,S$ 5.67 psf,Executive Condominium,Fully Furnished,2014,3h
People'S Park Complex,1 Park Road,Ready to move,900,,,210 sqft,S$ 4.29 psf,Apartment,,,3h
502A Wellington Circle,502A Wellington Circle,Ready to move,1900,3,2,1400 sqft,S$ 1.36 psf,HDB Apartment,,,3h
Orchid Park Condo,93 Yishun Street 81,Ready to move,2200,2,2,979 sqft,S$ 2.25 psf,Condominium,Fully Furnished,1994,3h
The Clift,21 McCallum Street,Available from 20 Apr,3400,1,1,527 sqft,S$ 6.45 psf,Apartment,Fully Furnished,2011,3h
1919,110 Sophia Road,Ready to move,3800,2,2,861 sqft,S$ 4.41 psf,Condominium,Partially Furnished,2015,3h
Cairnhill Residences,31 Cairnhill Circle,Ready to move,5800,3,3,1238 sqft,S$ 4.68 psf,Apartment,Partially Furnished,2010,3h
211 Jurong East Street 21,211 Jurong East Street 21,Ready to move,1900,2,2,721 sqft,S$ 2.64 psf,HDB Apartment,Fully Furnished,,3h
18B Holland Drive,18B Holland Drive,Ready to move,2800,3,2,914 sqft,S$ 3.06 psf,HDB Apartment,Fully Furnished,,3h
Newly renovated pool/ bungalow. 5 ensuites. New Garden park 3-4 cars.,,Ready to move,18000,5,6,4500 sqft 9000 sqft (land),S$ 2.00 psf,Bungalow House,Partially Furnished,,3h
The Orchard Residences,238 Orchard Boulevard,Available from 8 Mar,12800,3,3,1808 sqft,S$ 7.08 psf,Condominium,Partially Furnished,2010,3h
Citylights,80 Jellicoe Road,Ready to move,3000,1,1,689 sqft,S$ 4.35 psf,Condominium,Partially Furnished,2007,3h
Hana,8 Tomlinson Road,Ready to move,26000,4,4,3531 sqft,S$ 7.36 psf,Apartment,Partially Furnished,2014,3h
Citylights,80 Jellicoe Road,Ready to move,3000,1,1,689 sqft,S$ 4.35 psf,Condominium,Partially Furnished,2007,3h
Hana,8 Tomlinson Road,Ready to move,26000,4,4,3531 sqft,S$ 7.36 psf,Apartment,Partially Furnished,2014,3h
Oleander Towers,911 Lorong 1 Toa Payoh,Ready to move,3999,4,2,1465 sqft,S$ 2.73 psf,Apartment,Partially Furnished,1998,3h
Kingsford Waterbay,84 Upper Serangoon View,Ready to move,1950,2,1,624 sqft,S$ 3.12 psf,Condominium,,2017,3h
Kovan Regency,2 Kovan Rise,Available from 17 Mar,2700,2,2,775 sqft,S$ 3.48 psf,Condominium,Partially Furnished,2016,3h
Ivory Heights,117 Jurong East Street 13,Ready to move,2500,3,2,1668 sqft,S$ 1.50 psf,Condominium,Fully Furnished,1993,3h
Scotts Square,8 Scotts Road,Available from 10 Apr,8000,3,3,1249 sqft,S$ 6.41 psf,Apartment,Fully Furnished,2010,3h
7 On Chapel,7 Chapel Road,Ready to move,3300,2,2,743 sqft,S$ 4.44 psf,Apartment,Partially Furnished,2014,3h
Mirage Tower,80 Kim Seng Road,Ready to move,4200,3,2,1277 sqft,S$ 3.29 psf,Condominium,Fully Furnished,1997,3h
7 On Chapel,7 Chapel Road,Ready to move,3000,2,1,678 sqft,S$ 4.42 psf,Apartment,Partially Furnished,2014,3h
Regent Heights,52 Bukit Batok East Avenue 5,Available from 1 Apr,2388,2,2,1023 sqft,S$ 2.33 psf,Condominium,Fully Furnished,1999,3h
Dover Parkview,30 Dover Rise,Ready to move,3500,2,2,1326 sqft,S$ 2.64 psf,Condominium,Partially Furnished,1997,3h
Eight Riversuites,2 Whampoa East,Ready to move,3000,2,2,807 sqft,S$ 3.72 psf,Condominium,,2016,3h
The Oxley,9 Oxley Rise,Ready to move,2800,1,1,613 sqft,S$ 4.57 psf,Apartment,Partially Furnished,1997,3h
Marina Bay Suites,3 Central Boulevard,,7800,3,2,1614 sqft,S$ 4.83 psf,Apartment,Partially Furnished,2014,3h
Caspian,50 Lakeside Drive,Ready to move,1100,,,200 sqft,S$ 5.50 psf,Condominium,Fully Furnished,2013,3h
Rv Suites,396 River Valley Road,Ready to move,2800,1,1,538 sqft,S$ 5.20 psf,Apartment,Fully Furnished,2011,3h
The Belvedere,51 Meyer Road,Ready to move,4900,3,3,1367 sqft,S$ 3.58 psf,Condominium,Fully Furnished,2008,3h
North Park Residences,31 Yishun Central 1,Ready to move,2688,2,2,700 sqft,S$ 3.84 psf,Condominium,Partially Furnished,2020,3h
Mill Point,3 Zion Close,Available from 15 Apr,3800,2,2,915 sqft,S$ 4.15 psf,Apartment,Partially Furnished,2004,3h
682A Jurong West Central 1,682A Jurong West Central 1,Ready to move,850,,,100 sqft,S$ 8.50 psf,HDB Apartment,Fully Furnished,,3h
281 Toh Guan Road,281 Toh Guan Road,Ready to move,700,,,150 sqft,S$ 4.67 psf,HDB Apartment,Fully Furnished,,3h
City Gate,371 Beach Road,Ready to move,2000,1,1,300 sqft,S$ 6.67 psf,Apartment,Partially Furnished,2019,3h
La Casa,52 Woodlands Drive 16,Ready to move,2300,3,2,1141 sqft,S$ 2.02 psf,Condominium,Partially Furnished,2008,3h
Serangoon Garden Estate,Serangoon Garden Estate,Ready to move,12000,5,5,4000 sqft 2800 sqft (land),S$ 4.29 psf,Semi-Detached House,Unfurnished,2014,3h
Harbour View Towers,21 Telok Blangah Drive,Ready to move,3200,2,2,800 sqft,S$ 4.00 psf,Condominium,Fully Furnished,1994,3h
Ardmore II,2 Ardmore Park,Ready to move,9500,4,3,2024 sqft,S$ 4.69 psf,Condominium,Partially Furnished,2010,3h
328 Hougang Avenue 5,328 Hougang Avenue 5,Ready to move,650,,,120 sqft,S$ 5.42 psf,HDB Apartment,Fully Furnished,,3h
Riverside 48,48 Robertson Quay,Ready to move,2800,1,2,762 sqft,S$ 3.67 psf,Condominium,Partially Furnished,2001,3h
661 Choa Chu Kang Crescent,661 Choa Chu Kang Crescent,Ready to move,1900,3,2,1119 sqft,S$ 1.70 psf,HDB Apartment,Fully Furnished,,3h
18B Holland Drive,18B Holland Drive,Ready to move,2800,3,2,914 sqft,S$ 3.06 psf,HDB Apartment,Fully Furnished,,3h
Newly renovated pool/ bungalow. 5 ensuites. New Garden park 3-4 cars.,,Ready to move,18000,5,6,4500 sqft 9000 sqft (land),S$ 2.00 psf,Bungalow House,Partially Furnished,,3h
The Orchard Residences,238 Orchard Boulevard,Available from 8 Mar,12800,3,3,1808 sqft,S$ 7.08 psf,Condominium,Partially Furnished,2010,3h
Citylights,80 Jellicoe Road,Ready to move,3000,1,1,689 sqft,S$ 4.35 psf,Condominium,Partially Furnished,2007,3h
Hana,8 Tomlinson Road,Ready to move,26000,4,4,3531 sqft,S$ 7.36 psf,Apartment,Partially Furnished,2014,3h
Oleander Towers,911 Lorong 1 Toa Payoh,Ready to move,3999,4,2,1465 sqft,S$ 2.73 psf,Apartment,Partially Furnished,1998,3h
Kingsford Waterbay,84 Upper Serangoon View,Ready to move,1950,2,1,624 sqft,S$ 3.12 psf,Condominium,,2017,3h
Kovan Regency,2 Kovan Rise,Available from 17 Mar,2700,2,2,775 sqft,S$ 3.48 psf,Condominium,Partially Furnished,2016,3h
Ivory Heights,117 Jurong East Street 13,Ready to move,2500,3,2,1668 sqft,S$ 1.50 psf,Condominium,Fully Furnished,1993,3h
Scotts Square,8 Scotts Road,Available from 10 Apr,8000,3,3,1249 sqft,S$ 6.41 psf,Apartment,Fully Furnished,2010,3h
7 On Chapel,7 Chapel Road,Ready to move,3300,2,2,743 sqft,S$ 4.44 psf,Apartment,Partially Furnished,2014,3h
Mirage Tower,80 Kim Seng Road,Ready to move,4200,3,2,1277 sqft,S$ 3.29 psf,Condominium,Fully Furnished,1997,3h
7 On Chapel,7 Chapel Road,Ready to move,3000,2,1,678 sqft,S$ 4.42 psf,Apartment,Partially Furnished,2014,3h
Regent Heights,52 Bukit Batok East Avenue 5,Available from 1 Apr,2388,2,2,1023 sqft,S$ 2.33 psf,Condominium,Fully Furnished,1999,3h
Dover Parkview,30 Dover Rise,Ready to move,3500,2,2,1326 sqft,S$ 2.64 psf,Condominium,Partially Furnished,1997,3h
Eight Riversuites,2 Whampoa East,Ready to move,3000,2,2,807 sqft,S$ 3.72 psf,Condominium,,2016,3h
The Oxley,9 Oxley Rise,Ready to move,2800,1,1,613 sqft,S$ 4.57 psf,Apartment,Partially Furnished,1997,3h
Marina Bay Suites,3 Central Boulevard,,7800,3,2,1614 sqft,S$ 4.83 psf,Apartment,Partially Furnished,2014,3h
Caspian,50 Lakeside Drive,Ready to move,1100,,,200 sqft,S$ 5.50 psf,Condominium,Fully Furnished,2013,3h
Rv Suites,396 River Valley Road,Ready to move,2800,1,1,538 sqft,S$ 5.20 psf,Apartment,Fully Furnished,2011,3h
The Belvedere,51 Meyer Road,Ready to move,4900,3,3,1367 sqft,S$ 3.58 psf,Condominium,Fully Furnished,2008,3h
North Park Residences,31 Yishun Central 1,Ready to move,2688,2,2,700 sqft,S$ 3.84 psf,Condominium,Partially Furnished,2020,3h
Mill Point,3 Zion Close,Available from 15 Apr,3800,2,2,915 sqft,S$ 4.15 psf,Apartment,Partially Furnished,2004,3h
682A Jurong West Central 1,682A Jurong West Central 1,Ready to move,850,,,100 sqft,S$ 8.50 psf,HDB Apartment,Fully Furnished,,3h
281 Toh Guan Road,281 Toh Guan Road,Ready to move,700,,,150 sqft,S$ 4.67 psf,HDB Apartment,Fully Furnished,,3h
City Gate,371 Beach Road,Ready to move,2000,1,1,300 sqft,S$ 6.67 psf,Apartment,Partially Furnished,2019,3h
La Casa,52 Woodlands Drive 16,Ready to move,2300,3,2,1141 sqft,S$ 2.02 psf,Condominium,Partially Furnished,2008,3h
Serangoon Garden Estate,Serangoon Garden Estate,Ready to move,12000,5,5,4000 sqft 2800 sqft (land),S$ 4.29 psf,Semi-Detached House,Unfurnished,2014,3h
Harbour View Towers,21 Telok Blangah Drive,Ready to move,3200,2,2,800 sqft,S$ 4.00 psf,Condominium,Fully Furnished,1994,3h
Ardmore II,2 Ardmore Park,Ready to move,9500,4,3,2024 sqft,S$ 4.69 psf,Condominium,Partially Furnished,2010,3h
City Gate,371 Beach Road,Ready to move,2000,1,1,300 sqft,S$ 6.67 psf,Apartment,Partially Furnished,2019,3h
La Casa,52 Woodlands Drive 16,Ready to move,2300,3,2,1141 sqft,S$ 2.02 psf,Condominium,Partially Furnished,2008,3h
Serangoon Garden Estate,Serangoon Garden Estate,Ready to move,12000,5,5,4000 sqft 2800 sqft (land),S$ 4.29 psf,Semi-Detached House,Unfurnished,2014,3h
Harbour View Towers,21 Telok Blangah Drive,Ready to move,3200,2,2,800 sqft,S$ 4.00 psf,Condominium,Fully Furnished,1994,3h
Ardmore II,2 Ardmore Park,Ready to move,9500,4,3,2024 sqft,S$ 4.69 psf,Condominium,Partially Furnished,2010,3h
328 Hougang Avenue 5,328 Hougang Avenue 5,Ready to move,650,,,120 sqft,S$ 5.42 psf,HDB Apartment,Fully Furnished,,3h
Riverside 48,48 Robertson Quay,Ready to move,2800,1,2,762 sqft,S$ 3.67 psf,Condominium,Partially Furnished,2001,3h
661 Choa Chu Kang Crescent,661 Choa Chu Kang Crescent,Ready to move,1900,3,2,1119 sqft,S$ 1.70 psf,HDB Apartment,Fully Furnished,,3h
Liv On Sophia,14 Adis Road,Ready to move,3200,2,2,680 sqft,S$ 4.71 psf,Apartment,,2016,3h
124 Paya Lebar Way,124 Paya Lebar Way,Ready to move,650,,,150 sqft,S$ 4.33 psf,HDB Apartment,Partially Furnished,,3h
Orchard Scotts,3 Anthony Road,Ready to move,11900,3,4,2508 sqft,S$ 4.74 psf,Condominium,Partially Furnished,2007,3h
Fortune Park,109 Tampines Road,,2850,3,3,1250 sqft,S$ 2.28 psf,Condominium,Fully Furnished,1996,3h
The Parc Condo,15 West Coast Walk,Available from 2 May,4800,4,3,1464 sqft,S$ 3.28 psf,Condominium,Partially Furnished,2011,3h
Serangoon Garden Estate,Serangoon Garden Estate,,10000,5,6,4000 sqft 2600 sqft (land),S$ 3.85 psf,Semi-Detached House,Partially Furnished,2014,3h
Tiara,1 Kim Seng Walk,Ready to move,3700,2,2,900 sqft,S$ 4.11 psf,Apartment,Fully Furnished,1995,3h
Casa Sarina,101 Lorong Sarina,Available from 1 Apr,2950,3,2,1142 sqft,S$ 2.58 psf,Condominium,Unfurnished,1998,3h
Telok kurau road,,Ready to move,5000,4,5,3700 sqft 3400 sqft (land),S$ 1.47 psf,Corner Terrace,Unfurnished,,3h
Marina One Residences,23 Marina Way,Ready to move,3800,1,1,700 sqft,S$ 5.43 psf,Apartment,Partially Furnished,2017,3h
419 Ang Mo Kio Avenue 10,419 Ang Mo Kio Avenue 10,Available from 30 Mar,1900,2,1,720 sqft,S$ 2.64 psf,HDB Apartment,,,3h
828 Yishun Street 81,828 Yishun Street 81,Available from 30 Mar,2300,3,2,1582 sqft,S$ 1.45 psf,HDB Apartment,Partially Furnished,,3h
Guillemard Suites,213 Guillemard Road,Ready to move,1388,1,1,200 sqft,S$ 6.94 psf,Apartment,Fully Furnished,2017,3h
